source_entry_id,ordinal,raw_target,raw_context,candidate_entry_id,candidate_headword,candidate_volume
Bd01_A-B:0029:0006,22,Darstellung,Darstellung (logischmengentheoretisch,Bd02_C-F:0135:0155,Darstellung (logisch-mengentheoretisch),Bd02_C-F
Bd01_A-B:0029:0006,22,Darstellung,Darstellung (logischmengentheoretisch,Bd02_C-F:0135:0156,Darstellung (semiotisch),Bd02_C-F
Bd01_A-B:0037:0022,2,Makrokosmos,Makrokosmos und Mikrokosmos führt bei A,Bd05_Log-N:0206:0132,Makrokosmos,Bd05_Log-N
Bd01_A-B:0037:0022,2,Makrokosmos,Makrokosmos und Mikrokosmos führt bei A,Bd05_Log-N:0207:0133,Makrokosmos,Bd05_Log-N
Bd01_A-B:0038:0024,3,Implikation,"Implikation A ≺ B, nicht aber die umgekehrte Implikation B ≺ A gilt",Bd03_G-Inn:0580:0424,Implikation,Bd03_G-Inn
Bd01_A-B:0038:0024,3,Implikation,"Implikation A ≺ B, nicht aber die umgekehrte Implikation B ≺ A gilt",Bd03_G-Inn:0581:0425,"Implikation, induktive",Bd03_G-Inn
Bd01_A-B:0038:0024,3,Implikation,"Implikation A ≺ B, nicht aber die umgekehrte Implikation B ≺ A gilt",Bd03_G-Inn:0582:0426,"Implikation, relevante",Bd03_G-Inn
Bd01_A-B:0038:0024,3,Implikation,"Implikation A ≺ B, nicht aber die umgekehrte Implikation B ≺ A gilt",Bd03_G-Inn:0582:0427,"Implikation, strenge",Bd03_G-Inn
Bd01_A-B:0038:0024,3,Implikation,"Implikation A ≺ B, nicht aber die umgekehrte Implikation B ≺ A gilt",Bd03_G-Inn:0582:0428,"Implikation, strikte",Bd03_G-Inn
Bd01_A-B:0038:0024,3,Implikation,"Implikation A ≺ B, nicht aber die umgekehrte Implikation B ≺ A gilt",Bd06_O-Ra:0160:0136,Implikation,Bd06_O-Ra
Bd01_A-B:0044:0031,49,Begriffe,Begriffe gewinnen,Bd01_A-B:0412:0515,"Begriffe, identische",Bd01_A-B
Bd01_A-B:0044:0031,49,Begriffe,Begriffe gewinnen,Bd01_A-B:0412:0516,"Begriffe, theoretische",Bd01_A-B
Bd01_A-B:0048:0034,4,Darstellung,Darstellung (logisch-mengen-,Bd02_C-F:0135:0155,Darstellung (logisch-mengentheoretisch),Bd02_C-F
Bd01_A-B:0048:0034,4,Darstellung,Darstellung (logisch-mengen-,Bd02_C-F:0135:0156,Darstellung (semiotisch),Bd02_C-F
Bd01_A-B:0056:0053,0,Kräfte,Kräfte oder,Bd04_Ins-Loc:0399:0315,Kraft,Bd04_Ins-Loc
Bd01_A-B:0056:0053,0,Kräfte,Kräfte oder,Bd04_Ins-Loc:0401:0316,Kraft,Bd04_Ins-Loc
Bd01_A-B:0057:0055,1,Kraft,Kraft eines Körpers auf einen anderen von einer entgegengesetzt g,Bd04_Ins-Loc:0399:0315,Kraft,Bd04_Ins-Loc
Bd01_A-B:0057:0055,1,Kraft,Kraft eines Körpers auf einen anderen von einer entgegengesetzt g,Bd04_Ins-Loc:0401:0316,Kraft,Bd04_Ins-Loc
Bd01_A-B:0070:0081,0,Kräften,Kräften ähnlich der,Bd04_Ins-Loc:0399:0315,Kraft,Bd04_Ins-Loc
Bd01_A-B:0070:0081,0,Kräften,Kräften ähnlich der,Bd04_Ins-Loc:0401:0316,Kraft,Bd04_Ins-Loc
Bd01_A-B:0080:0099,6,ästhetisch/Ästhetik,ästhetisch/Ästhetik,Bd01_A-B:0277:0379,ästhetisch/Ästhetik,Bd01_A-B
Bd01_A-B:0080:0099,6,ästhetisch/Ästhetik,ästhetisch/Ästhetik,Bd01_A-B:0288:0380,ästhetisch/Ästhetik (endeetisch),Bd01_A-B
Bd01_A-B:0089:0111,0,unendlich/Unendlichkeit,unendlich/Unendlichkeit,Bd08_Th-Z:0192:0155,unendlich/Unendlichkeit,Bd08_Th-Z
Bd01_A-B:0089:0111,0,unendlich/Unendlichkeit,unendlich/Unendlichkeit,Bd08_Th-Z:0198:0157,"Unendlichkeit, schlechte",Bd08_Th-Z
Bd01_A-B:0097:0122,2,Paradoxien,"Paradoxien behandeln, stehen didaktisch bemerkenswerte Werke wie die",Bd06_O-Ra:0116:0091,"Paradoxien, kosmologische",Bd06_O-Ra
Bd01_A-B:0097:0122,2,Paradoxien,"Paradoxien behandeln, stehen didaktisch bemerkenswerte Werke wie die",Bd06_O-Ra:0118:0092,"Paradoxien, zenonische",Bd06_O-Ra
