source_entry_id,source_headword,source_volume,ordinal,raw_target,raw_context,status,target_entry_id,target_headword,target_volume,match_words,redirect_hops,suffix_stripped
Bd01_A-B:0025:0001,Abacus,Bd01_A-B,0,Psephoi,Psephoi,cross_volume,Bd06_O-Ra:0505:0404,Psephoi,Bd06_O-Ra,1,0,
Bd01_A-B:0025:0001,Abacus,Bd01_A-B,1,Logik,"Logik, algebraische",cross_volume,Bd05_Log-N:0025:0006,"Logik, algebraische",Bd05_Log-N,2,0,
Bd01_A-B:0025:0001,Abacus,Bd01_A-B,2,Syllogistik,Syllogistik,cross_volume,Bd07_Re-Te:0622:0531,Syllogistik,Bd07_Re-Te,1,0,
Bd01_A-B:0026:0002,Abaelard,Bd01_A-B,0,Nominalismus,Nominalismus,cross_volume,Bd05_Log-N:0613:0486,Nominalismus,Bd05_Log-N,1,0,
Bd01_A-B:0026:0002,Abaelard,Bd01_A-B,1,Universalienstreit,"Universalienstreit, dem Realisten (",cross_volume,Bd08_Th-Z:0215:0171,Universalienstreit,Bd08_Th-Z,1,0,
Bd01_A-B:0026:0002,Abaelard,Bd01_A-B,2,Realismus,Realismus (erkenntnistheoretisch,cross_volume,Bd07_Re-Te:0023:0006,Realismus (erkenntnistheoretisch),Bd07_Re-Te,2,0,
Bd01_A-B:0026:0002,Abaelard,Bd01_A-B,3,Allgemeinen,"Allgemeinen eine selbständige Existenz zukomme, und (in Anlehnung an A",deinflected,Bd01_A-B:0125:0152,allgemein (ethisch),Bd01_A-B,1,0,en
Bd01_A-B:0026:0002,Abaelard,Bd01_A-B,4,Abstraktion,Abstraktion,same_volume,Bd01_A-B:0045:0033,Abstraktion,Bd01_A-B,1,0,
Bd01_A-B:0026:0002,Abaelard,Bd01_A-B,5,sic,sic et non,cross_volume,Bd07_Re-Te:0390:0314,sic et non,Bd07_Re-Te,3,0,
Bd01_A-B:0026:0002,Abaelard,Bd01_A-B,6,Autoritäten,"Autoritäten soll der Wahrheitsfindung dienen, indem sie durch den Zweif",deinflected,Bd01_A-B:0346:0441,Autorität,Bd01_A-B,1,0,en
Bd01_A-B:0026:0002,Abaelard,Bd01_A-B,7,Summen,Summen des 13,deinflected,Bd07_Re-Te:0605:0503,Summe,Bd07_Re-Te,1,0,n
Bd01_A-B:0026:0002,Abaelard,Bd01_A-B,8,Scholastik,Scholastik,cross_volume,Bd07_Re-Te:0289:0238,Scholastik,Bd07_Re-Te,1,0,
Bd01_A-B:0026:0002,Abaelard,Bd01_A-B,9,Autonomie,Autonomie der,same_volume,Bd01_A-B:0343:0438,Autonomie,Bd01_A-B,1,0,
Bd01_A-B:0026:0002,Abaelard,Bd01_A-B,10,Vernunft,Vernunft gerade innerhalb des Lehrgebäudes der Offenbarungsreligion,cross_volume,Bd08_Th-Z:0323:0296,Vernunft,Bd08_Th-Z,1,0,
Bd01_A-B:0028:0003,ab alio,Bd01_A-B,0,Scholastik,Scholastik gebräuchlicher Ausdruck zur Bezeichnung des Verursachtseins,cross_volume,Bd07_Re-Te:0289:0238,Scholastik,Bd07_Re-Te,1,0,
