lemma_key,lemma,entry_id,volume,variant_type
a dicto secundum quid ad dictum simpliciter,a dicto secundum quid ad dictum simpliciter,Bd01_A-B:0062:0069,Bd01_A-B,primary
a fortiori,a fortiori,Bd01_A-B:0070:0084,Bd01_A-B,primary
a posteriori,a posteriori,Bd01_A-B:0204:0293,Bd01_A-B,primary
a posteriori,a posteriori,Bd01_A-B:0206:0300,Bd01_A-B,redirect_alias
a priori,a priori,Bd01_A-B:0206:0300,Bd01_A-B,primary
a se,a se,Bd01_A-B:0274:0370,Bd01_A-B,primary
ab alio,ab alio,Bd01_A-B:0028:0003,Bd01_A-B,primary
ab esse ad posse valet consequentia,ab esse ad posse valet consequentia,Bd01_A-B:0034:0011,Bd01_A-B,primary
abacus,Abacus,Bd01_A-B:0025:0001,Bd01_A-B,primary
abaelard,Abaelard,Bd01_A-B:0026:0002,Bd01_A-B,primary
abano,Abano,Bd01_A-B:0028:0004,Bd01_A-B,primary
abbagnano,Abbagnano,Bd01_A-B:0028:0005,Bd01_A-B,primary
abbild,Abbild,Bd01_A-B:0029:0006,Bd01_A-B,primary
abbildtheorie,Abbildtheorie,Bd01_A-B:0030:0007,Bd01_A-B,primary
abbildung,Abbildung,Bd01_A-B:0032:0008,Bd01_A-B,primary
abbt,Abbt,Bd01_A-B:0032:0009,Bd01_A-B,primary
abduktion,Abduktion,Bd01_A-B:0033:0010,Bd01_A-B,primary
abfolge,Abfolge,Bd01_A-B:0034:0012,Bd01_A-B,primary
abgeschlossen,abgeschlossen,Bd01_A-B:0035:0013,Bd01_A-B,slash_half
abgeschlossen/abgeschlossenheit,abgeschlossen/Abgeschlossenheit,Bd01_A-B:0035:0013,Bd01_A-B,primary
abgeschlossenheit,Abgeschlossenheit,Bd01_A-B:0035:0013,Bd01_A-B,slash_half
abgrenzungskriterium,Abgrenzungskriterium,Bd01_A-B:0035:0014,Bd01_A-B,primary
abgrund,Abgrund,Bd01_A-B:0035:0015,Bd01_A-B,primary
abhangig,abhängig,Bd01_A-B:0036:0016,Bd01_A-B,slash_half
abhangig/abhangigkeit,abhängig/Abhängigkeit,Bd01_A-B:0036:0016,Bd01_A-B,primary
abhangigkeit,Abhängigkeit,Bd01_A-B:0036:0016,Bd01_A-B,slash_half
abhāva,abhāva,Bd01_A-B:0036:0017,Bd01_A-B,primary
abjunktion,Abjunktion,Bd01_A-B:0036:0018,Bd01_A-B,primary
ableitbar,ableitbar,Bd01_A-B:0037:0019,Bd01_A-B,slash_half
ableitbar/ableitbarkeit,ableitbar/Ableitbarkeit,Bd01_A-B:0037:0019,Bd01_A-B,primary
ableitbarkeit,Ableitbarkeit,Bd01_A-B:0037:0019,Bd01_A-B,slash_half
ableitbarkeitstheorem,Ableitbarkeitstheorem,Bd01_A-B:0037:0020,Bd01_A-B,primary
ableitung,Ableitung,Bd01_A-B:0037:0021,Bd01_A-B,primary
abravanel,Abravanel,Bd01_A-B:0037:0022,Bd01_A-B,primary
abschattung,Abschattung,Bd01_A-B:0038:0023,Bd01_A-B,primary
abschwachungsregel,Abschwächungsregel,Bd01_A-B:0038:0024,Bd01_A-B,primary
absicht,Absicht,Bd01_A-B:0038:0025,Bd01_A-B,primary
absolute geometrie,absolute Geometrie,Bd03_G-Inn:0107:0076,Bd03_G-Inn,comma_inverted
absolute idee,absolute Idee,Bd03_G-Inn:0540:0388,Bd03_G-Inn,comma_inverted
absolute zeit,absolute Zeit,Bd08_Th-Z:0674:0588,Bd08_Th-Z,comma_inverted
"absolute, das","Absolute, das",Bd01_A-B:0039:0026,Bd01_A-B,primary
absoluter geist,absoluter Geist,Bd03_G-Inn:0071:0043,Bd03_G-Inn,comma_inverted
absoluter idealismus,absoluter Idealismus,Bd03_G-Inn:0526:0374,Bd03_G-Inn,comma_inverted
absoluter raum,absoluter Raum,Bd06_O-Ra:0626:0485,Bd06_O-Ra,comma_inverted
absolutes wissen,absolutes Wissen,Bd08_Th-Z:0556:0526,Bd08_Th-Z,comma_inverted
absolutismus,Absolutismus,Bd01_A-B:0041:0027,Bd01_A-B,primary
absorptionsgesetz,Absorptionsgesetz,Bd01_A-B:0043:0028,Bd01_A-B,primary
absprechen,absprechen,Bd01_A-B:0043:0029,Bd01_A-B,primary
absprechen,absprechen,Bd08_Th-Z:0708:0632,Bd01_A-B,redirect_alias
absprechen,absprechen,Bd08_Th-Z:0708:0632,Bd08_Th-Z,slash_half
abstand,Abstand,Bd01_A-B:0043:0030,Bd01_A-B,primary
abstrakt,abstrakt,Bd01_A-B:0044:0031,Bd01_A-B,primary
abstrakt,abstrakt,Bd01_A-B:0045:0032,Bd01_A-B,slash_half
abstrakt/abstraktheit,abstrakt/Abstraktheit,Bd01_A-B:0045:0032,Bd01_A-B,primary
abstraktheit,Abstraktheit,Bd01_A-B:0045:0032,Bd01_A-B,slash_half
abstraktion,Abstraktion,Bd01_A-B:0045:0033,Bd01_A-B,primary
abstraktionsschema,Abstraktionsschema,Bd01_A-B:0048:0034,Bd01_A-B,primary
